ccn,name,state,city,homepage,cdm_indirect_url,cdm_url
234045,BEAUMONT BEHAVIORAL HEALTH,MI,DEARBORN,https://beaumontbh.com/,,
239801,HENRY FORD HOSPITAL,MI,DETROIT,https://www.henryford.com/,https://www.henryford.com/visitors/billing/cost-of-care/hospital-standard-charges,https://www.henryford.com/-/media/files/henry-ford/patients-visitors/billing/2022-standard-charges/101000-parent-hfhs-henry-ford-hospital-and-health-network-standardcharges.zip
239802,CHILDRENS OF MI TRANSPLANT,MI,DETROIT,https://www.childrensdmc.org/,https://www.childrensdmc.org/parents/pricing-info-estimates/hospital-pricing-information,https://www.childrensdmc.org/docs/global/standard-charges/272845064_children'shospitalofmichigan-dmc_standardcharges.json
239803,UNIVERSITY OF MICHIGAN MEDICAL CENTER,MI,ANN ARBOR,https://www.uofmhealth.org/,https://www.uofmhealth.org/michigan-medicine-standard-charges,https://uc268608b1299477b25d715701ef.dl.dropboxusercontent.com/cd/0/inline/Bx0fLmK4xgFmhdnlNXbExnEhCVhsmBXBA6I-L4ONBGfp-y0br6iot_voBnbn5sKaOg4xL3246cHvtzO1Nkzx68QUY7_IjG6EA3uOD8VMVHnA7Uj-1mjlsaCaleTj1CRohmrC7xWSVBfYEobXCVT2S9FpVCFi7Op7B2PsvCrRCedMuA/file
239804,ST JOHN HOSPITAL - TRANSPLANT,MI,DETROIT,https://healthcare.ascension.org/,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/mi/381359063_ascension-st-john-hospital_standardcharges.xlsx
239805,HARPER UNIVERSITY HOSPITAL,MI,DETROIT,https://www.dmc.org/,https://www.dmc.org/patients/pricing-info-estimates/hospital-pricing-information,https://www.dmc.org/docs/global/standard-charges/272844767_harperuniversityhospital-dmc_standardcharges.json
239806,BEAUMONT HEALTH SYSTEM,MI,ROYAL OAK,https://www.beaumont.org/,https://www.beaumont.org/patients-families/billing/pricing/beaumont-health-price-transparency-information,https://www.beaumont.org/docs/default-source/default-document-library/cdm-documents/2023/381459362_beaumont-hospital-royal-oak_hospital-standardcharges.csv
239807,DEVOS CHILDRENS HOSPITAL - TRANSPLANT UNIT,MI,GRAND RAPIDS,https://www.spectrumhealth.org/,https://www.spectrumhealth.org/billing/price-estimates,https://assets.contentstack.io/v3/assets/blt7b132cfc09cf5e18/bltdb35174793a43458/381360529_spectrum-health-hospitals_standardcharges.json
239808,SAINT MARY'S HEALTH CARE,MI,GRAND RAPIDS,https://www.urgentcaremedicals.com/center/3808/st-marys-health-care/,,
239809,SPECTRUM HEALTH ADULT SOLID ORGAN TRANSPLANT PROGR,MI,GRAND RAPIDS,https://www.spectrumhealth.org/,,
240001,NORTH MEMORIAL HEALTH,MN,ROBBINSDALE,https://northmemorial.com/,https://northmemorial.com/cost-estimates/,https://northmemorial.com/wp-content/uploads/2022/08/410729979_NORTHMEMORIALHOSPITAL_STANDARDCHARGES.csv
240002,ESSENTIA HEALTH ST MARY'S MEDICAL CENTER,MN,DULUTH,https://www.essentiahealth.org/,https://www.essentiahealth.org/find-facility/profile/essentia-health-st-marys-medical-center-duluth/,https://ncstoragemlessentia.blob.core.windows.net/public/documents/standard-charges/41-0695604_Essentia-Health-St.-Marys-Medical-Center_standardcharges.csv
240004,HENNEPIN COUNTY MEDICAL CENTER 1,MN,MINNEAPOLIS,https://www.hennepinhealthcare.org/,https://www.hennepinhealthcare.org/billing/costs-of-care-at-hennepin-healthcare/,https://hennepinhealthcare.org/public/documents/2022/HennepinHealthcare-StandardCharges-2022.csv
240006,OLMSTED MEDICAL CENTER,MN,ROCHESTER,https://www.olmmed.org/,https://www.olmmed.org/disclaimer/,https://www.olmmed.org/app/files/public/1621/CMS-Pricing.xlsx
240010,MAYO CLINIC HOSPITAL ROCHESTER,MN,ROCHESTER,https://www.mayoclinic.org/,https://www.mayoclinic.org/patient-visitor-guide/billing-insurance/price-estimates/chargemaster,https://mcorgstatic.blob.core.windows.net/cms-price/410944601_mayo-clinic-hospital-rochester_standardcharges.csv
240014,NORTHFIELD HOSPITAL,MN,NORTHFIELD,https://www.northfieldhospital.org/,https://www.northfieldhospital.org/chargemaster,https://www.northfieldhospital.org/sites/default/files/Hospital%20Transparency%20File%202022%20for%20Publication%20-%20aug%202022.csv
240018,MAYO CLINIC HEALTH SYSTEM - RED WING,MN,RED WING,https://www.mayoclinichealthsystem.org/,https://www.mayoclinichealthsystem.org/locations/red-wing/billing/cms-hospital-pricing,https://mcorgstatic.blob.core.windows.net/cms-price/411404075_mayo-clinic-health-system-red-wing_standardcharges.csv
240019,ESSENTIA HEALTH DULUTH,MN,DULUTH,https://www.essentiahealth.org/,https://www.essentiahealth.org/patients-visitors/billing/price-estimates/,https://www.essentiahealth.org/app/files/public/7e8efafe-8ef4-49c6-910f-86edb73bb7ce/documents/standard-charges/41-1878730_Essentia-Health-Duluth_standardcharges.csv
240020,CAMBRIDGE MEDICAL CENTER,MN,CAMBRIDGE,https://www.allinahealth.org/,https://www.allinahealth.org/customer-service/billing-and-insurance,https://www.allinahealth.org/-/media/allina-health/files/customer-service/billing-and-insurance/363261413-cambridge-standardcharges.xlsx
240022,SANFORD WORTHINGTON MEDICAL CENTER,MN,WORTHINGTON,https://www.sanfordhealth.org/,https://www.sanfordhealth.org/patients-and-visitors/billing-and-insurance/price-estimates,https://search.hospitalpriceindex.com/hpi2/hospital/Sanford%20Worthington%20Medical%20Center/8370
24002F,VA HOSP,MN,SAINT CLOUD,https://www.va.gov/st-cloud-health-care/,,
240030,ALOMERE HEALTH,MN,ALEXANDRIA,https://alomerehealth.com/,https://alomerehealth.com/patient-resources/billing-insurance/,https://alomerehealth.com/wp-content/uploads/2022/06/Final-Price-Transparency-Readable-2022.xlsx
240036,ST CLOUD HOSPITAL,MN,SAINT CLOUD,https://www.centracare.com/,https://www.centracare.com/pricing-financial-assistance/,https://www.centracare.com/documents/Standard-Charges-St-Cloud-Hospital.xls
240038,UNITED HOSPITAL,MN,SAINT PAUL,https://www.allinahealth.org/,https://www.allinahealth.org/customer-service/billing-and-insurance,https://www.allinahealth.org/-/media/allina-health/files/customer-service/billing-and-insurance/363261413-united-standard-charges.xlsx
24003F,VETERANS AFFAIRS MEDICAL CENTER,MN,MINNEAPOLIS,https://www.va.gov/minneapolis-health-care/,,
240040,UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS,MN,HIBBING,https://www.fairview.org/,https://www.fairview.org/billing/patient-billing-information,https://mhealthfairview.org/-/media/Files/410991680_M-Health-Fairview-Lakes-Medical-Center_Standard-Charges.xlsx
240043,MAYO CLINIC HEALTH SYSTEM - ALBERT LEA AND AUSTIN,MN,ALBERT LEA,https://www.mayoclinichealthsystem.org/,https://www.mayoclinichealthsystem.org/locations/albert-lea/billing/cms-hospital-pricing,https://mcorgstatic.blob.core.windows.net/cms-price/411404075_mayo-clinic-health-system-albert-lea-and-austin_standardcharges.csv
240044,WINONA HEALTH SERVICES,MN,WINONA,https://www.winonahealth.org/,https://www.winonahealth.org/patient-information/billing/pricing-guides/chargemaster-inpatient-services-standard-pricing/,https://search.hospitalpriceindex.com/allServices/Winona%20Health/8165/all
240047,ST LUKES HOSPITAL,MN,DULUTH,https://www.slhduluth.com/,https://www.slhduluth.com/patients-visitors/financial-services/st-lukes-chargemaster/,https://www.slhduluth.com/documents/patient-visitor/StLukesHospital-Chargemaster.xlsx
010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,DOTHAN,https://www.southeasthealth.org/,https://www.southeasthealth.org/financial-information-price-transparency/,https://www.southeasthealth.org/wp-content/uploads/Southeast-Health-Standard-Charges-2022.xlsx
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,AL,BOAZ,https://mmcenters.com/,https://mmcenters.com/charges,https://pricetransparency.blob.core.windows.net/mmc/83-1651180_marshallmedicalcenters_standardcharges.csv
010006,NORTH ALABAMA MEDICAL CENTER,AL,FLORENCE,https://namccares.com/,https://namccares.com/hospital-charges-listing,https://namccares.com/sites/namc/assets/uploads/CDM%20-%20North%20Alabama%20MC%2023200.xlsx
010007,MIZELL MEMORIAL HOSPITAL,AL,OPP,https://www.mizellmh.com/,https://www.mizellmh.com/getpage.php?name=Hospital_Pricing,https://www.mizellmh.com/docs/CHARGEMASTER_effective_01012022.pdf
010008,CRENSHAW COMMUNITY HOSPITAL,AL,LUVERNE,https://crenshawcommunityhospital.com/,,
010011,ST VINCENT'S EAST,AL,BIRMINGHAM,https://healthcare.ascension.org/,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/al/630578923_ascension-saint-vincents-east_standardcharges.xlsx
010012,DEKALB REGIONAL MEDICAL CENTER,AL,FORT PAYNE,https://dekalbregional.com/,https://dekalbregional.com/pricing-transparency/,https://dekalbregional.com/wp-content/uploads/2022/04/DeKalb_CMList_01_10_2022.csv
010016,SHELBY BAPTIST MEDICAL CENTER,AL,ALABASTER,https://www.shelbybaptistmedicalcenter.com/,https://www.shelbybaptistmedicalcenter.com/patients/pricing-info-estimates/hospital-pricing-information,https://www.shelbybaptistmedicalcenter.com/docs/global/standard-charges/474780023_shelbybaptistmedicalcenter_standardcharges.json
010018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,AL,BIRMINGHAM,https://www.uabmedicine.org/,https://www.uabmedicine.org/price-transparency,https://cdn.hs.uab.edu/static/46-1468253_callahaneyehospital_standardcharges.zip
010019,HELEN KELLER MEMORIAL HOSPITAL,AL,SHEFFIELD,https://www.helenkeller.com/,https://www.huntsvillehospital.org/price-transparency,https://www.huntsvillehospital.org/images/pricetransparency/472323163_Helen-Keller_standardcharges.xls
010021,DALE MEDICAL CENTER,AL,OZARK,https://www.dalemedical.org/,https://www.dalemedical.org/getpage.php?name=Hospital_Pricing,https://www.dalemedical.org/docs/Chargemaster.xlsx
010022,FLOYD CHEROKEE MEDICAL CENTER,AL,CENTRE,https://www.floyd.org/Pages/default.aspx,https://www.floyd.org/patients-visitors/billing/Pages/price-estimates.aspx,https://search.hospitalpriceindex.com/hpi2/hospital/Floyd%20Cherokee%20Medical%20Center/5339
010023,BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,https://www.baptistfirst.org/,https://www.baptistjax.com/patient-info/billing-and-insurance-information/patient-cost-estimate-request-overview/gross-charges,https://res.cloudinary.com/baptisthealth/raw/upload/v1659101684/BaptistJax/price-transparency/590747311_baptist-medical-center-south_standardcharges_xml.csv
010024,JACKSON HOSPITAL & CLINIC INC,AL,MONTGOMERY,https://www.jackson.org/,https://pricetransparency.accureg.net/jackson,https://pricetransparency.blob.core.windows.net/jackson/63-6001820_jacksonhospital_standardcharges.csv
010029,EAST ALABAMA MEDICAL CENTER,FL,OPELIKA,https://www.eastalabamahealth.org/,https://www.eastalabamahealth.org/patient-and-guests/billing-and-financial-information/estimate-my-cost,https://www.eastalabamahealth.org/assets/documents/patientsguests/636000526_eastalabama_standardcharges_updatedsheet.csv
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,BIRMINGHAM,https://www.uabmedicine.org/,https://www.uabmedicine.org/price-transparency,https://cdn.hs.uab.edu/static/63-005396_uabhospital_standardcharges.zip
010034,COMMUNITY HOSPITAL INC,AL,TALLASSEE,https://www.chal.org/,http://www.chal.org/about/resources,http://www.chal.org/Community_Hospital_Machine_Readable_Standard_Charges_12_2020.csv
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,CULLMAN,https://cullmanregional.com/,https://cullmanregional.com/patient-price-list/,https://cullmansite.wpenginepowered.com/wp-content/uploads/2020/12/Standard-Charge-File-01012022.xlsx
010036,ANDALUSIA HEALTH,AL,ANDALUSIA,https://www.andalusiahealth.com/,https://www.andalusiahealth.com/hospital-charges-listing,https://www.andalusiahealth.com/sites/andalusia/assets/uploads/MRF%20-%20Andalusia_Health_Standard_Charges_05122021%20621081822.zip
010038,STRINGFELLOW CAMPUS OF NORTHEAST RMC,AL,ANNISTON,https://rmccares.org/,,
010039,HUNTSVILLE HOSPITAL,AL,HUNTSVILLE,https://www.huntsvillehospital.org/,https://www.huntsvillehospital.org/price-transparency,https://www.huntsvillehospital.org/images/pricetransparency/630845288_Huntsville-Hospital_standardcharges.xls
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,GADSDEN,https://www.gadsdenregional.com/,https://www.gadsdenregional.com/pricing-information,https://www.gadsdenregional.com/Uploads/Public/Documents/charge-masters/631102774_Gadsden_standardcharges.csv
010044,MARION REGIONAL MEDICAL CENTER,AL,HAMILTON,https://www.nmhs.net/,https://www.nmhs.net/patient-family-information/price-estimate/,https://www.nmhs.net/app/files/public/2500fe97-e642-463c-a62b-45f112bdced3/64-0926753_marionregionalmedicalcenterinc_standardcharges.excel.csv
010045,FAYETTE MEDICAL CENTER,AL,FAYETTE,https://www.dchsystem.com/,https://www.dchsystem.com/patient-visitor/chargemaster/list-of-charges/,https://www.dchsystem.com/documents/machine%20readable/63-6004942_FAYETTEMEDICALCENTER_STANDARDCHARGES.xlsx
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,GADSDEN,https://www.riverviewregional.com/,https://www.riverviewregional.com/patients-visitors/financial-assistance/,https://www.riverviewregional.com/472228529_RiverviewRegionalMedicalCenter_standardcharges.json
